lei,year,application_count,approval_count,denial_count,approval_rate,denial_rate,du_share,lpa_share,internal_aus_share,other_aus_share,external_aus_coverage,external_aus_coverage_alt_any_aus_reported,cert,rssd,entity,type,insure,name,assets,assetl,org,assorg,namet,state,fore,valid_fdic_cert,asset,astempm,bkclass,esal,id,nclnlsr,nonixay,numemp,rbc1aaj,roa,specgrp,stalp,matched_fdic_financials
254900TM81D0YC1B9584,2023,645,631,14,0.9782945736434109,0.021705426356589147,0.0,0.0,0.0,1.0,0.0,0.0,58181.0,3437456.0,3437456.0,10.0,7.0,METRO CITY BK,3482906.0,3440092.0,4750086.0,3483451.0,METRO CITY BANK,13.0,NMB,True,3482906.0,15.831390909090908,NM,29304.0,58181_20231231,0.4635171995756933,1.3675048806625036,220.0,10.147690241086629,1.5001788742642,5.0,GA,True
254900TM81D0YC1B9584,2024,805,781,24,0.9701863354037267,0.02981366459627329,0.0,0.0,0.0,1.0,0.0,0.0,58181.0,3437456.0,3437456.0,10.0,7.0,METRO CITY BK,3578664.0,3482906.0,4750086.0,3579195.0,METRO CITY BANK,13.0,NMB,True,3578664.0,14.9111,NM,33207.0,58181_20241231,0.5698086822264619,1.4848427607786303,240.0,11.492434347207713,1.8153657186177243,5.0,GA,True
254900TM81D0YC1B9584,2025,823,802,21,0.9744835965978129,0.02551640340218712,0.0,0.0,0.0,1.0,0.0,0.0,58181.0,3437456.0,3437456.0,10.0,7.0,METRO CITY BK,4713542.0,3578664.0,4750086.0,4766797.0,METRO CITY BANK,13.0,NMB,True,4713603.0,14.916465189873415,NM,36674.0,58181_20251231,0.6421821247701175,1.649699039065566,316.0,9.840894578960212,1.7925331728820333,4.0,GA,True
254900WTZC5SSKIN2M11,2023,3530,2993,537,0.8478753541076487,0.15212464589235128,0.0,0.0,0.0,1.0,0.0,0.0,17438.0,413141.0,413141.0,10.0,7.0,FIRST NB AMER,5613739.0,4554611.0,1206313.0,5618886.0,FIRST NATIONAL BANK OF AMERICA,26.0,NAT,True,5613739.0,15.902943342776206,N,36388.0,17438_20231231,1.1620698700764314,1.3199722618372862,353.0,8.37310197615753,2.6326921465791804,5.0,MI,True
254900WTZC5SSKIN2M11,2024,3401,2999,402,0.8817994707438989,0.11820052925610115,0.0,0.0,0.0,1.0,0.0,0.0,17438.0,413141.0,413141.0,10.0,7.0,FIRST NB AMER,6310718.0,5613739.0,1206313.0,6314685.0,FIRST NATIONAL BANK OF AMERICA,26.0,NAT,True,6310718.0,17.242398907103826,N,39403.0,17438_20241231,1.4620345803318295,1.1932877430376856,366.0,8.144869435948676,2.953822915160392,5.0,MI,True
254900WTZC5SSKIN2M11,2025,2204,1950,254,0.8847549909255898,0.11524500907441017,0.0,0.0,0.0,1.0,0.0,0.0,17438.0,413141.0,413141.0,10.0,7.0,FIRST NB AMER,6700737.0,6310718.0,1206313.0,6703343.0,FIRST NATIONAL BANK OF AMERICA,26.0,NAT,True,6700737.0,17.773838196286473,N,42782.0,17438_20251231,1.823958620178782,1.2340638099570442,377.0,8.14270920584977,2.935973831358411,5.0,MI,True
2WHM8VNJH63UN14OL754,2023,12697,11912,785,0.9381743718988738,0.061825628101126254,0.5981727967236355,0.2490352051665748,0.027644325431204222,0.12514767267858548,0.8472080018902104,0.8754823974167126,6560.0,12311.0,12311.0,10.0,7.0,HUNTINGTON NB,188730743.0,113260434.0,1068191.0,189368216.0,HUNTINGTON NATIONAL BANK,39.0,NAT,True,188730743.0,10.149542511427804,N,2280099.0,6560_20231231,0.7010204703963469,2.2363002964497376,18595.0,8.509095463711985,1.173130378877103,4.0,OH,True
2WHM8VNJH63UN14OL754,2024,12132,11276,856,0.9294427959116386,0.07055720408836136,0.6318826244642268,0.23763600395647874,0.03461918892185954,0.09586218265743489,0.8695186284207056,0.9043026706231454,6560.0,12311.0,12311.0,10.0,7.0,HUNTINGTON NB,203427533.0,188730743.0,1068191.0,204230284.0,HUNTINGTON NATIONAL BANK,39.0,NAT,True,203427533.0,10.717994362486827,N,2414856.0,6560_20241231,0.7830110639503687,2.1754437957990933,18980.0,8.941115729927187,1.081114942371023,4.0,OH,True
2WHM8VNJH63UN14OL754,2025,11261,10510,751,0.9333096527839446,0.0666903472160554,0.7089068466388421,0.1619749578190214,0.03276796021667703,0.09635023532545955,0.8708818044578635,0.9044489832164107,6560.0,12311.0,12311.0,10.0,7.0,HUNTINGTON NB,224047234.0,203427533.0,1068191.0,225105957.0,HUNTINGTON NATIONAL BANK,39.0,NAT,True,224047234.0,11.420493118564584,N,2702897.0,6560_20251231,0.8071347645392613,2.163012024060873,19618.0,9.628233992626562,1.1998613549659756,4.0,OH,True
337KMNHEWWWR6B7Q7W10,2023,837,763,74,0.9115890083632019,0.0884109916367981,0.7777777777777778,0.0,0.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,4063.0,595270.0,595270.0,20.0,7.0,MIDFIRST BK,36651207.0,34681050.0,3839096.0,36678291.0,MIDFIRST BANK,40.0,FSB,True,36651207.0,11.59114705882353,SB,371646.0,4063_20231231,9.547821403812176,1.664518354508817,3162.0,8.926145767138308,1.3544089161593122,4.0,OK,True
